Timestamp,Axis,Torque_Nm,Torque_pct_of_rated
2025-11-17 09:00:02.000,1,4.676,38.97
2025-11-17 09:00:02.000,2,3.889,38.89
2025-11-17 09:00:02.000,3,4.516,50.18
2025-11-17 09:00:02.000,4,3.731,62.18
2025-11-17 09:00:02.000,5,2.125,53.13
2025-11-17 09:00:02.000,6,1.744,58.13
2025-11-17 09:00:03.500,1,5.716,47.63
2025-11-17 09:00:03.500,2,4.614,46.14
2025-11-17 09:00:03.500,3,3.712,41.24
2025-11-17 09:00:03.500,4,5.973,99.55
2025-11-17 09:00:03.500,5,2.017,50.43
2025-11-17 09:00:03.500,6,1.578,52.61
2025-11-17 09:00:04.500,1,1.692,14.1
2025-11-17 09:00:04.500,2,4.76,47.6
2025-11-17 09:00:04.500,3,,
2025-11-17 09:00:04.500,4,2.269,37.81
2025-11-17 09:00:04.500,5,2.063,51.58
2025-11-17 09:00:04.500,6,1.622,54.06
2025-11-17 09:00:05.500,1,3.524,29.37
2025-11-17 09:00:05.500,2,2.288,22.88
2025-11-17 09:00:05.500,3,3.596,39.96
2025-11-17 09:00:05.500,4,3.287,54.78
2025-11-17 09:00:05.500,5,3.019,75.48
2025-11-17 09:00:05.500,6,1.894,63.15
2025-11-17 09:00:06.000,1,4.318,35.98
2025-11-17 09:00:06.000,2,3.588,35.88
2025-11-17 09:00:06.000,3,3.618,40.2
2025-11-17 09:00:06.000,4,3.455,57.58
2025-11-17 09:00:06.000,5,2.293,57.33
2025-11-17 09:00:06.000,6,1.648,54.92
2025-11-17 09:00:07.000,1,3.22,26.83
2025-11-17 09:00:07.000,2,,
2025-11-17 09:00:07.000,3,3.666,40.73
2025-11-17 09:00:07.000,4,2.998,49.96
2025-11-17 09:00:07.000,5,2.126,53.16
2025-11-17 09:00:07.000,6,1.893,63.11
2025-11-17 09:00:09.000,1,2.986,24.88
2025-11-17 09:00:09.000,2,4.874,48.74
2025-11-17 09:00:09.000,3,6.051,67.23
2025-11-17 09:00:09.000,4,3.573,59.55
2025-11-17 09:00:09.000,5,2.27,56.75
2025-11-17 09:00:09.000,6,2.011,67.05
2025-11-17 09:00:09.500,1,3.232,26.93
2025-11-17 09:00:09.500,2,2.733,27.33
2025-11-17 09:00:09.500,3,4.607,51.19
2025-11-17 09:00:09.500,4,2.741,45.69
2025-11-17 09:00:09.500,5,1.769,44.23
2025-11-17 09:00:09.500,6,1.589,52.96
2025-11-17 09:00:10.000,1,3.115,25.96
2025-11-17 09:00:10.000,2,4.108,41.08
2025-11-17 09:00:10.000,3,4.469,49.66
2025-11-17 09:00:10.000,4,3.426,57.1
2025-11-17 09:00:10.000,5,2.486,62.15
2025-11-17 09:00:10.000,6,1.981,66.04
2025-11-17 09:00:10.500,1,4.001,33.34
2025-11-17 09:00:10.500,2,3.501,35.01
2025-11-17 09:00:10.500,3,2.964,32.93
2025-11-17 09:00:10.500,4,3.528,58.8
2025-11-17 09:00:10.500,5,,
2025-11-17 09:00:10.500,6,,
2025-11-17 09:00:11.500,1,5.333,44.44
2025-11-17 09:00:11.500,2,3.281,32.81
2025-11-17 09:00:11.500,3,4.651,51.68
2025-11-17 09:00:11.500,4,3.142,52.37
2025-11-17 09:00:11.500,5,1.868,46.7
2025-11-17 09:00:11.500,6,1.782,59.39
2025-11-17 09:00:12.500,1,5.134,42.78
2025-11-17 09:00:12.500,2,4.636,46.36
2025-11-17 09:00:12.500,3,5.126,56.96
2025-11-17 09:00:12.500,4,3.163,52.71
2025-11-17 09:00:12.500,5,3.279,81.98
2025-11-17 09:00:12.500,6,1.579,52.64
2025-11-17 09:00:14.000,1,3.817,31.81
2025-11-17 09:00:14.000,2,,
2025-11-17 09:00:14.000,3,3.028,33.65
2025-11-17 09:00:14.000,4,6.463,107.71
2025-11-17 09:00:14.000,5,2.13,53.24
2025-11-17 09:00:14.000,6,1.886,62.86
2025-11-17 09:00:15.500,1,5.618,46.82
2025-11-17 09:00:15.500,2,3.585,35.85
2025-11-17 09:00:15.500,3,3.468,38.53
2025-11-17 09:00:15.500,4,2.759,45.99
2025-11-17 09:00:15.500,5,2.493,62.32
2025-11-17 09:00:15.500,6,1.879,62.63
2025-11-17 09:00:16.500,1,3.691,30.76
2025-11-17 09:00:16.500,2,4.411,44.11
2025-11-17 09:00:16.500,3,4.12,45.78
2025-11-17 09:00:16.500,4,3.465,57.75
2025-11-17 09:00:16.500,5,1.975,49.38
2025-11-17 09:00:16.500,6,1.721,57.38
2025-11-17 09:00:17.000,1,3.823,31.86
2025-11-17 09:00:17.000,2,2.829,28.29
2025-11-17 09:00:17.000,3,4.263,47.37
2025-11-17 09:00:17.000,4,3.125,52.09
2025-11-17 09:00:17.000,5,2.202,55.04
2025-11-17 09:00:17.000,6,1.744,58.12
2025-11-17 09:00:17.500,1,2.842,23.68
2025-11-17 09:00:17.500,2,3.663,36.63
2025-11-17 09:00:17.500,3,,
2025-11-17 09:00:17.500,4,2.615,43.58
2025-11-17 09:00:17.500,5,2.148,53.71
2025-11-17 09:00:17.500,6,1.897,63.23
2025-11-17 09:00:19.000,1,6.011,50.09
2025-11-17 09:00:19.000,2,4.14,41.4
2025-11-17 09:00:19.000,3,4.235,47.06
2025-11-17 09:00:19.000,4,2.964,49.4
2025-11-17 09:00:19.000,5,1.586,39.65
2025-11-17 09:00:19.000,6,1.794,59.79
2025-11-17 09:00:19.500,1,4.258,35.48
2025-11-17 09:00:19.500,2,5.971,59.71
2025-11-17 09:00:19.500,3,3.911,43.46
2025-11-17 09:00:19.500,4,3.145,52.41
2025-11-17 09:00:19.500,5,2.189,54.72
2025-11-17 09:00:19.500,6,1.519,50.65
2025-11-17 09:00:21.000,1,5.297,44.14
2025-11-17 09:00:21.000,2,4.602,46.02
2025-11-17 09:00:21.000,3,4.62,51.33
2025-11-17 09:00:21.000,4,2.563,42.72
2025-11-17 09:00:21.000,5,2.649,66.22
2025-11-17 09:00:21.000,6,,
2025-11-17 09:00:22.500,1,4.763,39.69
2025-11-17 09:00:22.500,2,5.752,57.52
2025-11-17 09:00:22.500,3,3.337,37.08
2025-11-17 09:00:22.500,4,2.728,45.47
2025-11-17 09:00:22.500,5,2.232,55.8
2025-11-17 09:00:22.500,6,1.679,55.97
2025-11-17 09:00:24.000,1,2.711,22.59
2025-11-17 09:00:24.000,2,4.055,40.55
2025-11-17 09:00:24.000,3,3.285,36.5
2025-11-17 09:00:24.000,4,3.227,53.79
2025-11-17 09:00:24.000,5,1.906,47.64
2025-11-17 09:00:24.000,6,2.172,72.4
2025-11-17 09:00:25.000,1,3.448,28.73
