timestamp,Axis,Torque_Nm,Torque_pct_of_rated,status,notes
2025-11-17 09:00:02+00:00,1,4.676,38.97,valid,
2025-11-17 09:00:02+00:00,2,3.889,38.89,valid,
2025-11-17 09:00:02+00:00,3,4.516,50.18,valid,
2025-11-17 09:00:02+00:00,4,3.731,62.18,valid,
2025-11-17 09:00:02+00:00,5,2.125,53.13,valid,
2025-11-17 09:00:02+00:00,6,1.744,58.13,valid,
2025-11-17 09:00:03.500000+00:00,1,5.716,47.63,valid,
2025-11-17 09:00:03.500000+00:00,2,4.614,46.14,valid,
2025-11-17 09:00:03.500000+00:00,3,3.712,41.24,valid,
2025-11-17 09:00:03.500000+00:00,4,5.973,99.55,valid,
2025-11-17 09:00:03.500000+00:00,5,2.017,50.43,valid,
2025-11-17 09:00:03.500000+00:00,6,1.578,52.61,valid,
2025-11-17 09:00:04.500000+00:00,6,1.622,54.06,valid,
2025-11-17 09:00:04.500000+00:00,5,2.063,51.58,valid,
2025-11-17 09:00:04.500000+00:00,4,2.269,37.81,valid,
2025-11-17 09:00:04.500000+00:00,2,4.76,47.6,valid,
2025-11-17 09:00:04.500000+00:00,1,1.692,14.1,valid,
2025-11-17 09:00:04.500000+00:00,3,2.269,37.81,estimated,Imputed via time interpolation
2025-11-17 09:00:05.500000+00:00,1,3.524,29.37,valid,
2025-11-17 09:00:05.500000+00:00,2,2.288,22.88,valid,
2025-11-17 09:00:05.500000+00:00,3,3.596,39.96,valid,
2025-11-17 09:00:05.500000+00:00,4,3.287,54.78,valid,
2025-11-17 09:00:05.500000+00:00,5,3.019,75.48,valid,
2025-11-17 09:00:05.500000+00:00,6,1.894,63.15,valid,
2025-11-17 09:00:06+00:00,5,2.293,57.33,valid,
2025-11-17 09:00:06+00:00,6,1.648,54.92,valid,
2025-11-17 09:00:06+00:00,4,3.455,57.58,valid,
2025-11-17 09:00:06+00:00,1,4.318,35.98,valid,
2025-11-17 09:00:06+00:00,2,3.588,35.88,valid,
2025-11-17 09:00:06+00:00,3,3.618,40.2,valid,
2025-11-17 09:00:07+00:00,1,3.22,26.83,valid,
2025-11-17 09:00:07+00:00,2,1.893,63.11,estimated,Imputed via time interpolation
2025-11-17 09:00:07+00:00,3,3.666,40.73,valid,
2025-11-17 09:00:07+00:00,4,2.998,49.96,valid,
2025-11-17 09:00:07+00:00,5,2.126,53.16,valid,
2025-11-17 09:00:07+00:00,6,1.893,63.11,valid,
2025-11-17 09:00:09+00:00,6,2.011,67.05,valid,
2025-11-17 09:00:09+00:00,5,2.27,56.75,valid,
2025-11-17 09:00:09+00:00,4,3.573,59.55,valid,
2025-11-17 09:00:09+00:00,3,6.051,67.23,valid,
2025-11-17 09:00:09+00:00,1,2.986,24.88,valid,
2025-11-17 09:00:09+00:00,2,4.874,48.74,valid,
2025-11-17 09:00:09.500000+00:00,1,3.232,26.93,valid,
2025-11-17 09:00:09.500000+00:00,2,2.733,27.33,valid,
2025-11-17 09:00:09.500000+00:00,3,4.607,51.19,valid,
2025-11-17 09:00:09.500000+00:00,4,2.741,45.69,valid,
2025-11-17 09:00:09.500000+00:00,5,1.769,44.23,valid,
2025-11-17 09:00:09.500000+00:00,6,1.589,52.96,valid,
2025-11-17 09:00:10+00:00,6,1.981,66.04,valid,
2025-11-17 09:00:10+00:00,4,3.426,57.1,valid,
2025-11-17 09:00:10+00:00,5,2.486,62.15,valid,
2025-11-17 09:00:10+00:00,2,4.108,41.08,valid,
2025-11-17 09:00:10+00:00,3,4.469,49.66,valid,
2025-11-17 09:00:10+00:00,1,3.115,25.96,valid,
2025-11-17 09:00:10.500000+00:00,1,4.001,33.34,valid,
2025-11-17 09:00:10.500000+00:00,2,3.501,35.01,valid,
2025-11-17 09:00:10.500000+00:00,3,2.964,32.93,valid,
2025-11-17 09:00:10.500000+00:00,4,3.528,58.8,valid,
2025-11-17 09:00:10.500000+00:00,5,3.528,58.8,estimated,Imputed via time interpolation
2025-11-17 09:00:10.500000+00:00,6,3.528,58.8,estimated,Imputed via time interpolation
2025-11-17 09:00:11.500000+00:00,6,1.782,59.39,valid,
2025-11-17 09:00:11.500000+00:00,5,1.868,46.7,valid,
2025-11-17 09:00:11.500000+00:00,4,3.142,52.37,valid,
2025-11-17 09:00:11.500000+00:00,3,4.651,51.68,valid,
2025-11-17 09:00:11.500000+00:00,2,3.281,32.81,valid,
